IBT #;well;ID;plate;replicate
IBT 115008;A6;16;CRE_2;1
IBT 115008;A7;14;CRE_2;2
IBT 115008;A8;#N/A;CRE_2;3
IBT 115008;A9;#N/A;CRE_2;4
IBT 115009;B6;23;CRE_2;1
IBT 115009;B7;17;CRE_2;2
IBT 115009;B8;33;CRE_2;3
IBT 115009;B9;2;CRE_2;4
IBT 115010;C6;36;CRE_2;1
IBT 115010;C7;14;CRE_2;2
IBT 115010;C8;64;CRE_2;3
IBT 115010;C9;19;CRE_2;4
IBT 115014;D6;26;CRE_2;1
IBT 115014;D7;11;CRE_2;2
IBT 115014;D8;32;CRE_2;3
IBT 115014;D9;3;CRE_2;4
IBT 115011;E6;3;CRE_2;1
IBT 115011;E7;9;CRE_2;2
IBT 115011;E8;45;CRE_2;3
IBT 115011;E9;6;CRE_2;4
DTU9.1;F6;3;CRE_2;1
DTU9.1;F7;2;CRE_2;2
DTU9.1;F8;2;CRE_2;3
DTU9.1;F9;5;CRE_2;4
IBT 115008;A6;8;LRE_2;1
IBT 115008;A7;5;LRE_2;2
IBT 115008;A8;1;LRE_2;3
IBT 115008;A9;#N/A;LRE_2;4
IBT 115009;B6;1;LRE_2;1
IBT 115009;B7;1;LRE_2;2
IBT 115009;B8;1;LRE_2;3
IBT 115009;B9;1;LRE_2;4
IBT 115010;C6;7;LRE_2;1
IBT 115010;C7;1;LRE_2;2
IBT 115010;C8;2;LRE_2;3
IBT 115010;C9;19;LRE_2;4
IBT 115014;D6;4;LRE_2;1
IBT 115014;D7;2;LRE_2;2
IBT 115014;D8;1;LRE_2;3
IBT 115014;D9;3;LRE_2;4
IBT 115011;E6;2;LRE_2;1
IBT 115011;E7;1;LRE_2;2
IBT 115011;E8;1;LRE_2;3
IBT 115011;E9;2;LRE_2;4
DTU9.1;F6;1;LRE_2;1
DTU9.1;F7;1;LRE_2;2
DTU9.1;F8;1;LRE_2;3
DTU9.1;F9;1;LRE_2;4
IBT 115008;A6;14;TY_2;1
IBT 115008;A7;2;TY_2;2
IBT 115008;A8;6;TY_2;3
IBT 115008;A9;7;TY_2;4
IBT 115009;B6;4;TY_2;1
IBT 115009;B7;6;TY_2;2
IBT 115009;B8;4;TY_2;3
IBT 115009;B9;2;TY_2;4
IBT 115010;C6;#N/A;TY_2;1
IBT 115010;C7;12;TY_2;2
IBT 115010;C8;5;TY_2;3
IBT 115010;C9;1;TY_2;4
IBT 115014;D6;2;TY_2;1
IBT 115014;D7;3;TY_2;2
IBT 115014;D8;1;TY_2;3
IBT 115014;D9;2;TY_2;4
IBT 115011;E6;3;TY_2;1
IBT 115011;E7;4;TY_2;2
IBT 115011;E8;1;TY_2;3
IBT 115011;E9;8;TY_2;4
DTU9.1;F6;3;TY_2;1
DTU9.1;F7;1;TY_2;2
DTU9.1;F8;3;TY_2;3
DTU9.1;F9;5;TY_2;4
DH5 alpha;G6;3;TY_2;1
DH5 alpha;G7;3;TY_2;2
DH5 alpha;G8;3;TY_2;3
DH5 alpha;G9;2;TY_2;4
